Portfolio,Stock,Weight,Beta,Alpha,R_Squared,Total_Return,Systematic_Return,Idiosyncratic_Return,Weighted_Total_Return,Weighted_Systematic_Return,Weighted_Idiosyncratic_Return
A,WFC,0.04700430321085733,1.140088319970943,-0.00018925564287805444,0.2898997983514062,0.487094444618573,0.30130668051840237,0.13615863192169586,0.022895534967175557,0.014162710570543904,0.00640004161962291
A,ETN,0.009930486593843098,1.1135970771133772,0.0008147342783957998,0.30354267652117295,0.4401357663373937,0.29369077885897776,0.12346708918460747,0.004370762327084347,0.0029164923421944166,0.0012260882739285747
A,AMZN,0.015226746110559417,1.5370069908592308,0.0009986082971285652,0.3712086686791795,0.47551664366902036,0.419003983226081,0.04019192663977278,0.007240571204493524,0.0063800672718966325,0.0006119922626380496
A,QCOM,0.021185038066865277,1.4836010252683236,4.4246693698713445e-05,0.3826400973195182,0.11278728630030499,0.402776350504084,-0.1977980447559483,0.002389402953730394,0.008532832317862091,-0.004190359107706287
A,LMT,0.006951340615690168,0.3174447407382841,-0.000352403475357958,0.05290025853550084,0.08408806062272034,0.07875317296349982,0.0033562552312500493,0.000584524751101333,0.0005474401298356491,2.3330473305611065e-05
A,KO,0.05428666004634227,0.38145081756334104,-0.000481300593350374,0.1378002358992022,0.07172789112403333,0.09504019313802847,-0.023269512281719473,0.0038938676412914484,0.0051594146556228635,-0.0012632241026818913
A,JNJ,0.023502151605428664,0.34495423139773745,-0.0006820478452459598,0.07444722699023025,-0.058499239796029556,0.08573214342370505,-0.13472957652131612,-0.0013748580024886125,0.0020148898322022704,-0.0031664349331391737
A,ISRG,0.006289308176100629,1.2161883138610248,-7.288581146847051e-05,0.30363519521401894,0.5867026359676837,0.3233512479104821,0.19500385920628882,0.003689953685331344,0.0020336556472357365,0.0012264393660772882
A,XOM,0.031115524660708375,0.5576160975789375,-0.0005471757004164765,0.08604613642175425,0.10652327354462887,0.14075911225302562,-0.033166960695087955,0.003314527544917284,0.0043797936285284375,-0.0010320073834287546
A,MDT,0.04137702747434624,0.6601286985953296,-0.00022063565220235577,0.1627460474161375,0.007480512979305187,0.16796784897468986,-0.14043052153438662,0.00030952139106691436,0.006950010301832582,-0.005810597547765087
